origen,destino,vuelos
SAAC,SADF,2
SAAC,SADM,1
SAAP,SAAC,1
SAAP,SAAP,10
SAAP,SAAR,2
SAAP,SACO,1
SAAP,SADF,22
SAAP,SADL,1
SAAP,SADM,10
SAAP,SAEZ,14
SAAP,SAFR,1
SAAP,SAME,1
SAAP,SARP,1
SAAP,SASA,1
SAAP,SASJ,1
SAAR,SAAC,1
SAAR,SAAG,1
SAAR,SAAP,3
SAAR,SAAR,5
SAAR,SAAV,3
SAAR,SACD,1
SAAR,SACO,1
SAAR,SADF,39
SAAR,SADM,13
SAAR,SADP,2
SAAR,SAEZ,75
SAAR,SAFR,1
SAAR,SAMR,3
SAAR,SANU,1
SAAR,SAOC,2
SAAR,SARC,2
SAAR,SASO,1
SAAR,SAZM,15
SAAR,SAZN,12
SAAR,SAZS,23
SAAV,SAAC,1
SAAV,SAAR,2
SAAV,SAAV,5
SAAV,SACO,1
SAAV,SADF,19
SAAV,SAEZ,18
SAAV,SAFR,4
SAAV,SAME,1
SAAV,SANE,1
SAAV,SARC,1
SAAV,SATR,1
SAAV,SAVY,1
SACO,SAAP,2
SACO,SAAR,1
SACO,SAAV,1
SACO,SACC,2
SACO,SACD,6
SACO,SACO,11
SACO,SADF,76
SACO,SADL,1
SACO,SADM,3
SACO,SAEZ,303
SACO,SAFR,2
SACO,SAHR,1
SACO,SAME,37
SACO,SANC,3
SACO,SANE,3
SACO,SANL,2
SACO,SANO,2
SACO,SANT,6
SACO,SANU,1
SACO,SAOC,2
SACO,SAOS,1
SACO,SAOU,1
SACO,SARC,7
SACO,SARE,1
SACO,SARP,2
SACO,SASA,4
SACO,SASJ,5
SACO,SAWC,2
SACO,SAZB,4
SACO,SAZM,24
SACO,SAZN,2
SACO,SAZS,40
SADF,SAAA,2
SADF,SAAC,3
SADF,SAAG,23
SADF,SAAN,15
SADF,SAAP,23
SADF,SAAR,50
SADF,SAAU,1
SADF,SAAV,20
SADF,SACC,1
SADF,SACO,66
SADF,SADF,872
SADF,SADL,24
SADF,SADM,80
SADF,SADP,6
SADF,SADQ,9
SADF,SADZ,1
SADF,SAEZ,14
SADF,SAFR,7
SADF,SAHR,9
SADF,SAHZ,1
SADF,SAME,62
SADF,SAMR,3
SADF,SANC,19
SADF,SANE,9
SADF,SANL,22
SADF,SANO,4
SADF,SANT,54
SADF,SANU,29
SADF,SANW,1
SADF,SAOC,13
SADF,SAOL,2
SADF,SAOM,1
SADF,SAOR,2
SADF,SAOU,12
SADF,SAOV,1
SADF,SARC,38
SADF,SARE,22
SADF,SARF,24
SADF,SARI,3
SADF,SARP,36
SADF,SARS,2
SADF,SASA,41
SADF,SASJ,17
SADF,SASO,1
SADF,SATD,1
SADF,SATO,3
SADF,SATR,6
SADF,SAVC,43
SADF,SAVE,15
SADF,SAVN,1
SADF,SAVT,29
SADF,SAVV,18
SADF,SAVY,23
SADF,SAWC,4
SADF,SAWD,1
SADF,SAWE,5
SADF,SAWG,12
SADF,SAWH,3
SADF,SAWP,3
SADF,SAWT,1
SADF,SAZA,1
SADF,SAZB,21
SADF,SAZC,4
SADF,SAZF,5
SADF,SAZG,6
SADF,SAZH,8
SADF,SAZL,7
SADF,SAZM,55
SADF,SAZN,57
SADF,SAZO,9
SADF,SAZP,3
SADF,SAZR,17
SADF,SAZS,169
SADF,SAZT,3
SADF,SAZV,12
SADF,SAZX,2
SADF,SAZY,39
SADM,SACD,1
SADM,SACO,1
SADM,SADF,24
SADM,SADL,2
SADM,SADM,98
SADM,SADZ,2
SADM,SAEZ,1
SADM,SAME,3
SADM,SAMR,1
SADM,SANT,1
SADM,SANU,2
SADM,SANW,1
SADM,SAOC,1
SADM,SAOM,1
SADM,SARP,1
SADM,SASJ,1
SADM,SAVC,1
SADM,SAVV,1
SADM,SAZB,1
SADM,SAZC,1
SADM,SAZF,1
SADM,SAZM,7
SADM,SAZV,2
SADM,SAZY,1
SADP,SADF,2
SADP,SADM,6
SADP,SADP,2
SADP,SAOR,3
SADP,SAVC,1
SADP,SAZO,1
SADP,SAZS,2
SAEZ,SAAP,11
SAEZ,SAAR,84
SAEZ,SAAV,20
SAEZ,SACO,282
SAEZ,SADF,8
SAEZ,SAEZ,10
SAEZ,SAFR,2
SAEZ,SAHR,1
SAEZ,SAME,245
SAEZ,SAMR,27
SAEZ,SANC,27
SAEZ,SANE,36
SAEZ,SANT,149
SAEZ,SANU,48
SAEZ,SAOC,14
SAEZ,SAOS,1
SAEZ,SAOU,24
SAEZ,SAOV,1
SAEZ,SARC,46
SAEZ,SARE,55
SAEZ,SARI,124
SAEZ,SARP,61
SAEZ,SASA,186
SAEZ,SASJ,102
SAEZ,SATR,1
SAEZ,SAVC,79
SAEZ,SAVE,33
SAEZ,SAVT,93
SAEZ,SAVV,18
SAEZ,SAWC,159
SAEZ,SAWE,30
SAEZ,SAWG,37
SAEZ,SAWH,191
SAEZ,SAZB,43
SAEZ,SAZM,100
SAEZ,SAZN,150
SAEZ,SAZR,7
SAEZ,SAZS,503
SAEZ,SAZY,41
SAME,SAAP,1
SAME,SAAV,2
SAME,SACD,2
SAME,SACO,35
SAME,SADF,56
SAME,SADM,4
SAME,SAEZ,269
SAME,SAME,14
SAME,SAMM,1
SAME,SAMR,6
SAME,SANC,1
SAME,SANE,2
SAME,SANT,1
SAME,SANU,7
SAME,SAOC,1
SAME,SAOU,1
SAME,SARE,1
SAME,SASA,15
SAME,SASJ,1
SAME,SAVC,6
SAME,SAVT,1
SAME,SAVV,2
SAME,SAVY,1
SAME,SAWC,3
SAME,SAZB,1
SAME,SAZG,2
SAME,SAZM,17
SAME,SAZN,14
SAME,SAZS,19
SAME,SAZV,1
SAME,SAZY,2
SAMM,SADF,1
SAMM,SAME,1
SAMM,SAMM,1
SAMR,SAAR,3
SAMR,SACO,1
SAMR,SADF,4
SAMR,SADM,1
SAMR,SAEZ,28
SAMR,SAME,1
SAMR,SAMR,29
SAMR,SANC,1
SAMR,SANT,2
SAMR,SANU,8
SAMR,SAOC,1
SAMR,SASA,1
SAMR,SASJ,1
SAMR,SAVC,1
SAMR,SAVT,3
SAMR,SAVV,2
SAMR,SAWP,3
SAMR,SAZB,2
SAMR,SAZM,1
SAMR,SAZN,2
SAMR,SAZR,1
SAMR,SAZS,1
SAMR,SAZY,3
SANC,SACO,2
SANC,SADF,10
SANC,SAEZ,8
SANC,SAME,2
SANC,SAMR,1
SANC,SANC,2
SANC,SANL,19
SANC,SANT,1
SANC,SANU,1
SANC,SAOC,1
SANC,SASA,6
SANC,SASJ,1
SANC,SAVT,1
SANC,SAZB,1
SANC,SAZN,3
SANE,SAAR,1
SANE,SACD,1
SANE,SACO,2
SANE,SADF,7
SANE,SAEZ,39
SANE,SANE,33
SANE,SANL,1
SANE,SANO,1
SANE,SANT,3
SANE,SAOM,1
SANE,SASA,6
SANE,SAZS,1
SANL,SAEZ,1
SANL,SANL,1
SANL,SANT,1
SANT,SACD,1
SANT,SACO,4
SANT,SADF,48
SANT,SAEZ,171
SANT,SAME,2
SANT,SAMR,1
SANT,SANC,9
SANT,SANE,4
SANT,SANL,1
SANT,SANO,1
SANT,SANT,2
SANT,SANU,7
SANT,SARC,2
SANT,SARE,3
SANT,SARP,1
SANT,SASA,13
SANT,SASJ,9
SANT,SAZB,1
SANT,SAZM,17
SANT,SAZN,5
SANT,SAZY,2
SANU,SAAR,1
SANU,SACC,1
SANU,SACO,1
SANU,SADF,26
SANU,SADM,3
SANU,SADP,1
SANU,SAEZ,55
SANU,SAME,16
SANU,SAMR,4
SANU,SANC,1
SANU,SANL,2
SANU,SANO,1
SANU,SANT,6
SANU,SANU,2
SANU,SASA,1
SANU,SASJ,5
SANU,SAVC,4
SANU,SAVT,1
SANU,SAVV,1
SANU,SAVY,1
SANU,SAWC,1
SANU,SAWD,1
SANU,SAZN,19
SANU,SAZS,1
SAOC,SACO,4
SAOC,SADF,7
SAOC,SADL,1
SAOC,SADM,1
SAOC,SAEZ,17
SAOC,SAME,1
SAOC,SAMR,2
SAOC,SANT,1
SAOC,SANU,2
SAOC,SAOD,1
SAOC,SAOR,1
SAOC,SAVC,1
SAOC,SAVV,1
SAOC,SAZG,1
SAOC,SAZM,1
SAOR,SAFR,1
SAOR,SAMR,1
SAOR,SAOL,1
SAOR,SAOR,1
SAOR,SAOS,1
SAOR,SAOU,1
SAOR,SAZG,1
SAOU,SACO,4
SAOU,SADF,8
