oaci,denominacion,latitud,longitud,elev,condicion,trafico
SAWD,Puerto Deseado,-47.73511,-65.9041,82.0,Publico,Nacional
SABE,Buenos Aires / Aeroparque J. Newbery,-34.55888889,-58.41638889,5.6,Publico,Internacional
SAVA,Piedra Del Águila,-40.19232,-70.01075,649.0,Privado,Nacional
SAVR,Alto Río Senguerr / D. C. Szlapelis,-45.0132,-70.81282,697.0,Publico,Nacional
SAZS,San Carlos De Bariloche,-41.15111111,-71.15777778,846.0,Publico,Internacional
SAZB,Bahía Blanca / Comandante Espora,-38.7275,-62.15333333,75.0,Publico,Nacional
SAWT,El Turbio / 28 De Noviembre,-51.60502,-72.22034,273.0,Publico,Nacional
SAZI,Bolivar,-36.18666667,-61.07583333,94.0,Publico,Nacional
SAVB,El Bolsón,-41.94323,-71.53215,348.0,Publico,Nacional
SANC,Catamarca,-28.59305556,-65.75111111,464.0,Publico,Nacional
SACO,Córdoba / Ing. Aer. A. L. V. Taravella,-31.31,-64.20833333,489.0,Publico,Internacional
SATU,Curuzú Cuatiá,-29.7725,-57.98277778,70.0,Publico,Nacional
SAHC,Chos Malal,-37.44416667,-70.22305556,850.0,Publico,Nacional
SAZY,San Martín De Los Andes / Aviador C. Campos,-40.07527778,-71.13722222,783.0,Publico,Nacional
SAVH,Las Heras,-46.53848,-68.96583,330.0,Publico,Nacional
SAZQ,Río Colorado,-38.995,-64.14027778,84.0,Privado,Nacional
SADO,Campo De Mayo,-34.53433,-58.672,24.0,Privado,Nacional
SARC,Corrientes,-27.44555556,-58.76194444,61.5,Publico,Internacional
SAVC,Comodoro Rivadavia / Gral. E. Mosconi,-45.78527778,-67.46555556,57.6,Publico,Internacional
SACC,La Cumbre,-31.00589,-64.5321,1138.0,Publico,Nacional
SAZW,Cutral-co,-38.93972222,-69.265,650.0,Publico,Nacional
SAAC,Concordia / Comodoro Pierrestegui,-31.29694444,-57.99666667,34.0,Publico,Nacional
SAZT,Tandil / Héroes De Malvinas,-37.23437778,-59.22858611,175.0,Publico,Nacional
SAZD,Dolores,-36.32,-57.72055556,10.0,Publico,Nacional
SAME,Mendoza / El Plumerillo,-32.83166667,-68.79277778,704.0,Publico,Internacional
SAVY,Puerto Madryn / El Tehuelche,-42.75916667,-65.10277778,130.0,Publico,Nacional
SAWO,Ushuaia / Est. Aeronaval,-54.82277778,-68.30416667,6.0,Privado,Nacional
SAWC,El Calafate,-50.28,-72.05305556,204.0,Publico,Nacional
SACD,Coronel Olmedo,-31.48679,-64.14083,432.0,Publico,Nacional
SATD,Eldorado,-26.39694444,-54.57472222,209.0,Publico,Nacional
SAVD,El Maitén,-42.03,-71.17083333,718.0,Publico,Nacional
SADJ,Mariano Moreno,-34.56,-58.78972222,32.0,Publico,Nacional
SANW,Ceres,-29.87161,-61.92696,87.0,Publico,Nacional
SAVE,Esquel / Brigadier General Antonio Parodi,-42.90381,-71.13554,799.0,Publico,Nacional
SAEZ,Ezeiza / Ministro Pistarini,-34.82222222,-58.53583333,20.5,Publico,Internacional
SADF,San Fernando,-34.45454,-58.59091,3.0,Publico,Internacional
SACA,Córdoba / Capitán D. Omar Dario Gelardi,-31.44195,-64.25847,486.0,Publico,Nacional
SARF,Formosa,-26.21277778,-58.22805556,59.0,Publico,Internacional
SAWG,Río Gallegos / Piloto Civil Norberto Fernandez,-51.60881,-69.31217,19.0,Publico,Internacional
SAZV,Villa Gesell,-37.23444444,-57.02388889,10.0,Publico,Nacional
SAMA,General Alvear,-35.05939,-67.69319,454.0,Publico,Nacional
SAHR,General Roca / Dr. Arturo Humberto Illia,-39.0,-67.61972222,260.0,Publico,Nacional
SACT,Gobernador Gordillo / Chamical,-30.34416,-66.29403,458.0,Publico,Nacional
SATG,Goya,-29.10595,-59.21874,39.0,Publico,Nacional
SAZG,General Pico,-35.69472222,-63.75888889,140.0,Publico,Nacional
SAWE,Río Grande,-53.7776,-67.74952,20.0,Publico,Internacional
SAWR,Gobernador Gregores,-48.78333333,-70.16222222,356.0,Publico,Nacional
SAAG,Gualeguaychú,-33.00555556,-58.61277778,23.0,Publico,Nacional
SASQ,La Quiaca / Dr. Guillermo Eugenio Snopek,-22.16195,-65.57207,3480.0,Publico,Nacional
SARI,Cataratas Del  Iguazú / My. D. Carlos Eduardo Krause,-25.73722,-54.47354,279.0,Publico,Internacional
SAVJ,Ingeniero Jacobacci / Cabo F.a.a. H. R. Bordón,-41.32111111,-69.57611111,892.0,Publico,Nacional
SADQ,Quilmes,-34.70643,-58.24461,2.0,Privado,Nacional
SAEM,Miramar,-38.22611111,-57.87083333,13.0,Publico,Nacional
SATI,Bernardo De Irigoyen,-26.28171,-53.67257,815.0,Publico,Nacional
SANO,Chilecito / Brig. My. Juan Facundo Quiroga,-29.22333333,-67.43944444,945.0,Publico,Nacional
SAZJ,Juárez,-37.70611111,-59.79194444,212.0,Publico,Nacional
SAWS,José De San Martín,-44.04722222,-70.44638889,734.0,Publico,Nacional
SANU,San Juan / Domingo Faustino Sarmiento,-31.57138889,-68.41833333,597.0,Publico,Nacional
SASJ,Jujuy / Gobernador Guzmán,-24.3925,-65.09777778,920.0,Publico,Internacional
SANL,La Rioja / Cap. Vicente A. Almonacid,-29.38055556,-66.79583333,438.0,Publico,Nacional
SAOD,Villa Dolores,-31.9475,-65.1475,563.0,Publico,Nacional
SAVM,Sarmiento / Lago Musters,-45.57506,-69.07713,27.0,Privado,Nacional
SARL,Paso De Los Libres,-29.68805556,-57.15222222,70.0,Publico,Internacional
SAZX,Nueve De Julio,-35.39944444,-60.93333333,75.0,Publico,Nacional
SAOL,Laboulaye,-34.13544,-63.36237,137.0,Publico,Nacional
SAVQ,Maquinchao,-41.24288,-68.70828,880.0,Publico,Nacional
SADZ,Matanza,-34.72833333,-58.50055556,3.0,Publico,Nacional
SAWB,Vicecomodoro Marambio,-64.23913,-56.63085,209.5,Publico,Nacional
SARM,Monte Caseros,-30.27027778,-57.63944444,52.0,Publico,Nacional
SAZM,Mar Del Plata / Astor Piazzolla,-37.93416667,-57.57333333,22.0,Publico,Internacional
SADR,Merlo,-34.67638889,-58.74388889,15.0,Privado,Nacional
SAOM,Marcos Juarez,-32.684,-62.15772,110.0,Publico,Nacional
SAMM,Malargüe / Comodoro D. Ricardo Salomón,-35.49527778,-69.57305556,1424.0,Publico,Nacional
SADM,Morón,-34.67916667,-58.64361111,29.0,Publico,Nacional
SAZO,Necochea,-38.48954,-58.81626,22.0,Publico,Nacional
SAZN,Neuquén / Presidente Perón,-38.94888889,-68.15583333,273.0,Publico,Internacional
SAAJ,Junín,-34.54589,-60.93051,80.0,Publico,Nacional
SATO,Oberá,-27.5181,-55.12421,343.0,Privado,Nacional
SAZF,Olavarría,-36.88888889,-60.22777778,168.0,Publico,Nacional
SASO,Orán,-23.15221,-64.3288,357.0,Publico,Nacional
SAZR,Santa Rosa,-36.58833333,-64.27583333,192.0,Publico,Nacional
SADP,El Palomar,-34.61,-58.6125,18.0,Publico,Nacional
SAAP,Paraná / Gral. Urquiza,-31.79472222,-60.48027778,74.0,Publico,Nacional
SAZP,Pehuajó / Com. Pedro Zanni,-35.84451,-61.85748,85.0,Publico,Nacional
SAAN,Pergamino,-33.92027778,-60.64805556,72.0,Publico,Nacional
SAZE,Pigüé,-37.60611111,-62.38194444,312.0,Publico,Nacional
SARP,Posadas / Libertador Gral. D. José De San Martín,-27.38573,-55.97049,131.0,Publico,Internacional
SARS,Presidencia Roque Saenz Peña / Termal,-26.75564,-60.49329,94.0,Publico,Nacional
SADL,La Plata,-34.96916667,-57.89305556,22.0,Publico,Nacional
SAWP,Perito Moreno,-46.53844,-70.97879,430.0,Publico,Nacional
